Loss,Accuracy,Training Time,Prediction Time
0.062366573,0.9818,114.7083261,1.236695766
0.060121014,0.9812,109.0564802,1.349393606
0.063237423,0.9812,110.0202413,1.270602703
0.066983465,0.9798,109.3706994,1.298529863
0.086356736,0.974,112.1269791,1.37731576
0.053195527,0.984,110.4876566,1.329445601
0.056477968,0.983,110.5933714,1.355378151
0.05607247,0.9819,115.8772476,1.37432766
0.066301947,0.9799,109.7097342,1.391280413
0.062489699,0.9809,113.8975413,1.416214228
0.062225742,0.9817,111.784189,1.428182364
0.074733003,0.9765,110.4347963,1.455110073
0.053953875,0.9846,110.5265522,1.49001646
0.071185174,0.9771,114.6485317,1.513952971
0.062344849,0.9807,112.7047298,1.53689003
0.071199517,0.9795,115.0325069,1.566812277
0.066261807,0.9794,112.6279325,1.623660564
0.064926233,0.9804,113.6452162,1.651584625
0.078362757,0.9769,118.1342146,1.686496735
0.060715213,0.9835,117.8549559,1.709430695
0.056672388,0.9829,120.7033479,1.752315998
0.072975028,0.9776,117.6126106,1.793206692
0.06495711,0.9811,118.3935256,1.821127176
0.064168168,0.9799,120.9716315,1.856037617
0.069422092,0.9799,118.7016978,1.884960175
0.070822415,0.9782,119.1941595,1.893938303
0.060845558,0.9817,123.2056606,1.887950182
0.062850706,0.9831,121.1780791,1.982274771
0.062302628,0.9811,122.4446907,2.243005037
0.05519879,0.9832,120.4480302,1.963751554
0.070373157,0.9789,121.1501529,2.022593498
0.070615361,0.9791,122.7578552,2.053511858
0.073970755,0.9776,120.5856619,2.06148982
0.058799197,0.9813,119.9304135,2.046528578
0.069719662,0.9779,120.3692291,2.107367516
0.052968055,0.984,125.8658133,2.1682024
0.056677576,0.9824,125.2743325,2.176190376
0.058485679,0.9816,124.8043773,2.330771208
0.060184164,0.9806,126.2664769,2.538214684
0.063708415,0.9809,124.8043857,2.442471266
0.057263681,0.9824,125.9664402,2.330997229
0.069118807,0.9792,127.0872822,2.315810442
0.053990176,0.984,126.1259904,2.289878368
0.061977513,0.9809,124.7974033,2.368669033
0.072858489,0.9777,125.0716705,2.466407061
0.056692719,0.9829,126.3652072,2.49932003
0.066639531,0.9792,127.4333997,2.463413239
0.058391799,0.9824,127.3091834,2.666129827
0.054533039,0.9843,127.2473454,2.539212227
0.070563032,0.9789,128.3329949,2.57019496
AVG,,,
0.063945134,0.980658,119.072819,1.891945233
STDEV,,,
0.007234652,0.002315616,6.072256787,0.425466233
